Account Number,Account Type,Account Holder ID,Balance Date,Balance,Name,Date of Birth,Contact Number,First Line of Address,Transaction ID,Account To,Transaction Date,Value,Cancelled?
11346696,Basic,82550379,2023-01-31,661.99,Sonnnie Lettington,10/09/1956,07690573888,6 Homewood Junction,973180730.0,26632358.0,2023-02-13,1487.7,N
11438427,Basic,12807209,2023-01-31,484.08,Lora Umpleby,03/04/1952,07470603316,953 Pierstorff Court,7112744326.0,54541943.0,2023-02-08,1686.0,N
11662506,Basic,41390313,2023-01-31,573.89,Leigh Slimings,12/11/2002,07112224952,5841 Florence Circle,8657927187.0,11110085.0,2023-02-14,1397.8,N
11736814,Basic,73941848,2023-01-31,381.51,Meghann Tucker,30/01/1938,07367647078,5 Beilfuss Court,9845010989.0,32991596.0,2023-02-11,1851.4,N
11846043,Basic,21844263,2023-01-31,915.59,Harrietta McIlwrath,12/05/1971,07319685775,88637 Rutledge Point,6732430556.0,60114464.0,2023-02-10,1640.4,N
11882775,Basic,50701874,2023-01-31,299.41,Maggi Huard,01/08/1935,07487245589,51 7th Place,3548407560.0,57084496.0,2023-02-01,1058.7,N
11882775,Basic,50701874,2023-01-31,299.41,Maggi Huard,01/08/1935,07487245589,51 7th Place,5736260077.0,69468071.0,2023-02-06,1791.9,N
12035637,Gold,14770865,2023-01-31,461.35,Tomasine Treend,17/01/1942,07674822587,906 Vera Street,6023397263.0,93009261.0,2023-02-08,1169.6,N
12035637,Gold,14770865,2023-01-31,461.35,Tomasine Treend,17/01/1942,07674822587,906 Vera Street,7509646162.0,29631870.0,2023-02-02,1138.0,N
12420291,Gold,55080160,2023-01-31,578.47,Rozele Chippindale,30/11/1994,07849008825,128 Sommers Trail,5723530860.0,47356348.0,2023-02-03,1223.8,N
12680102,Basic,77963684,2023-01-31,674.64,Edithe Griggs,18/10/1993,07400436640,19659 Tony Lane,5914208858.0,85924719.0,2023-02-11,1010.6,N
13058003,Gold,10055517,2023-01-31,218.0,Bastian Lunam,02/10/1995,07726925518,33 Loomis Road,9770577936.0,66681692.0,2023-02-09,1246.4,N
13277127,Basic,252258,2023-01-31,793.22,Carissa Mulliss,09/05/1933,07154915911,4601 Canary Terrace,3959126042.0,38969279.0,2023-02-06,1037.3,N
13551717,Basic,68639654,2023-01-31,26.95,Crystal Jeacock,24/03/1956,07564586293,762 Mosinee Circle,9389881641.0,97571696.0,2023-02-01,1361.0,N
13965360,Basic,65473538,2023-01-31,299.46,Vincents Speare,25/07/1934,07910043558,82 Delaware Street,1019649690.0,67862200.0,2023-02-11,1655.3,N
14014401,Basic,11669981,2023-01-31,554.46,Clement Gant,09/10/1958,07595178757,13 Barnett Lane,8770709343.0,54824933.0,2023-02-09,1549.1,N
14337606,Basic,85170206,2023-01-31,561.8,Em Willicott,25/11/1943,07460992733,7776 Parkside Way,3203866781.0,86339899.0,2023-02-06,1792.7,N
14355869,Gold,21944580,2023-01-31,329.16,Shana Twentyman,06/11/1959,07257069800,859 Springs Park,8396185328.0,69315008.0,2023-02-01,1052.6,N
14448009,Joint,86296209,2023-01-31,958.46,Brinn Attkins,13/10/1993,07538141937,70105 Hayes Way,319483649.0,98377332.0,2023-02-08,1779.2,N
14448009,Joint,86296209,2023-01-31,958.46,Brinn Attkins,13/10/1993,07538141937,70105 Hayes Way,3101879213.0,21392412.0,2023-02-04,1367.4,N
14448009,Joint,86296209,2023-01-31,958.46,Brinn Attkins,13/10/1993,07538141937,70105 Hayes Way,7466187412.0,37503622.0,2023-02-09,1300.7,N
14648004,Gold,51124513,2023-01-31,236.67,Leila Peter,15/11/1979,07911895533,28102 Nobel Crossing,5514302946.0,95081571.0,2023-02-08,1330.7,N
14648004,Gold,51124513,2023-01-31,236.67,Leila Peter,15/11/1979,07911895533,28102 Nobel Crossing,7080051630.0,77797288.0,2023-02-12,1808.9,N
15044055,Gold,33356634,2023-01-31,204.3,Ruprecht Jessel,21/05/1944,07143621889,6761 Toban Circle,9059693922.0,40082477.0,2023-02-09,1434.1,N
15052808,Gold,48910576,2023-01-31,786.05,Emmott Sharvill,16/12/1967,07762043089,2 Eagan Circle,8191592274.0,91305080.0,2023-02-14,1288.0,N
15428008,Gold,78909455,2023-01-31,131.02,Pearl Tradewell,20/05/2004,07238864294,7 Mariners Cove Way,3764045884.0,88538200.0,2023-02-12,1077.3,N
15732629,Basic,25018182,2023-01-31,975.81,Wyatan Stenbridge,27/01/1934,07112036766,9 Waxwing Lane,7250445162.0,87967388.0,2023-02-13,1393.1,N
15914466,Gold,48411853,2023-01-31,436.62,Kathy Naden,01/07/1951,07409895649,29316 Monterey Drive,4595593104.0,94342965.0,2023-02-09,1208.0,N
16067516,Gold,308061,2023-01-31,494.33,Georgette Tamplin,30/10/1962,07734687967,712 Gulseth Way,7577450812.0,81932657.0,2023-02-08,1044.7,N
16334793,Gold,79475074,2023-01-31,297.75,Madelon Jerrolt,17/05/1964,07786860214,39 Lindbergh Terrace,3588310436.0,33632099.0,2023-02-11,1991.3,N
16676577,Gold,28090300,2023-01-31,407.24,Byrle Bianco,12/07/1997,07766660402,5 Acker Street,1244052175.0,16013218.0,2023-02-06,1436.4,N
17039422,Basic,38814096,2023-01-31,941.44,Agna Blenkiron,04/05/1980,07407748492,57 Harbort Trail,3873340968.0,91971494.0,2023-02-06,1053.5,N
17085651,Gold,90628588,2023-01-31,945.51,Otho Kelinge,03/06/1958,07524597284,22 Kennedy Trail,784603499.0,39744047.0,2023-02-14,1583.4,N
17085651,Gold,90628588,2023-01-31,945.51,Otho Kelinge,03/06/1958,07524597284,22 Kennedy Trail,4606990570.0,39542358.0,2023-02-11,1168.2,N
17085651,Gold,90628588,2023-01-31,945.51,Otho Kelinge,03/06/1958,07524597284,22 Kennedy Trail,8864200932.0,54067346.0,2023-02-11,1635.6,N
17138963,Basic,18184412,2023-01-31,131.95,Booth Vertigan,04/07/1934,07359490161,29 Valley Edge Junction,9013221270.0,19559937.0,2023-02-01,1500.7,N
17301178,Gold,11893969,2023-01-31,311.47,Cherey Edwardes,03/09/1985,07279335181,8 Old Shore Hill,6328472633.0,49216581.0,2023-02-07,1147.4,N
17749893,Basic,48939723,2023-01-31,889.45,Klemens Gagan,25/04/1957,07404841393,4 Green Way,8782463611.0,15944303.0,2023-02-12,1267.9,N
18185362,Basic,83289626,2023-01-31,609.36,Agace Sporle,28/02/1999,07182359874,96 Emmet Pass,176916326.0,33632099.0,2023-02-12,1955.6,N
18348734,Basic,41598271,2023-01-31,579.93,Colene Rastrick,24/03/1946,07955897701,8 Macpherson Terrace,2926917953.0,96121732.0,2023-02-11,1669.7,N
18348734,Basic,41598271,2023-01-31,579.93,Colene Rastrick,24/03/1946,07955897701,8 Macpherson Terrace,9128693981.0,45015534.0,2023-02-08,1032.4,N
18447548,Basic,14924822,2023-01-31,574.24,Amalle Townsend,06/01/1959,07564656009,3526 Sutherland Alley,4000808907.0,92145159.0,2023-02-13,1370.8,N
19094015,Basic,39028764,2023-01-31,548.65,Tom Twell,11/08/1940,07512644141,995 Debs Lane,4265537685.0,93009261.0,2023-02-06,1695.0,N
19789505,Basic,51019591,2023-01-31,893.9,Blanch Kinforth,12/07/1949,07628210281,94115 Clemons Alley,1013772741.0,48271608.0,2023-02-13,1665.4,N
19836996,Basic,63508404,2023-01-31,245.14,Madelle Attril,14/07/1996,07589616818,32 Morrow Drive,3525710887.0,44019515.0,2023-02-07,1159.5,N
20425065,Basic,91790770,2023-01-31,866.77,Farrah Bernasek,04/03/1995,07324300770,839 Bluestem Crossing,4140747293.0,85156953.0,2023-02-14,2134.6,N
20908067,Basic,27902624,2023-01-31,607.53,Johnnie Exeter,31/07/1981,07670500402,53 Algoma Road,2488904619.0,35126236.0,2023-02-14,2138.0,N
21032760,Gold,8732352,2023-01-31,541.33,Miguelita Gutsell,08/01/1956,07885021967,2732 Mcbride Drive,1931218919.0,34482885.0,2023-02-11,1161.1,N
21475060,Gold,78502675,2023-01-31,354.98,Leontine Boatswain,17/05/1959,07838565712,65 Dryden Point,2113578247.0,22696687.0,2023-02-12,1061.5,N
21694967,Basic,16928386,2023-01-31,90.13,Hadleigh Dabling,28/09/1951,07756723892,4438 Cherokee Terrace,7972782466.0,73642628.0,2023-02-06,1042.0,N
21711501,Basic,35823678,2023-01-31,126.63,Marcelo Gebby,01/01/1957,07749225564,4 Artisan Alley,8434042169.0,23815822.0,2023-02-03,1882.4,N
21719977,Gold,90895447,2023-01-31,758.81,Codi Pattison,28/10/1988,07220586650,7 Messerschmidt Alley,634472038.0,98568929.0,2023-02-13,1121.3,N
21749252,Gold,12675951,2023-01-31,646.27,Mufinella Hamor,24/12/1969,07554653747,7833 Alpine Alley,4359027095.0,52835507.0,2023-02-10,1098.2,N
22099256,Basic,63118786,2023-01-31,523.78,Mikael Poulney,10/09/1947,07929745585,27867 Bartillon Hill,8063078454.0,43499771.0,2023-02-06,1003.2,N
22137086,Basic,42903192,2023-01-31,410.35,Kerry Gaze,29/06/1992,07903643984,3 Esker Place,213599996.0,84448752.0,2023-02-08,1368.6,N
22137086,Basic,42903192,2023-01-31,410.35,Kerry Gaze,29/06/1992,07903643984,3 Esker Place,4025712466.0,72784766.0,2023-02-09,1288.6,N
22374612,Gold,27330896,2023-01-31,554.31,Eleonore Raphael,09/06/1987,07100932184,2 Farragut Terrace,1097057445.0,21293955.0,2023-02-05,1110.7,N
22393008,Gold,94839122,2023-01-31,753.5,Toinette Dight,30/07/1951,07661260409,8 Bluejay Avenue,3435734426.0,28738041.0,2023-02-07,1806.9,N
22830156,Basic,18931952,2023-01-31,596.06,Elli Cater,04/11/1942,07563267406,401 Summerview Terrace,4504569876.0,64228624.0,2023-02-12,1153.9,N
23045208,Gold,99152626,2023-01-31,359.49,Sheff Crowder,15/07/1950,07657988807,979 Londonderry Pass,6420230608.0,97258853.0,2023-02-02,1157.4,N
23141588,Joint,96910248,2023-01-31,281.28,Minne Sandeman,22/12/1985,07239963827,49 Pond Pass,5891700549.0,40189934.0,2023-02-02,1824.3,N
23231848,Gold,23989802,2023-01-31,27.12,Fee Moore,05/04/1944,07116175185,30 Aberg Way,184329213.0,79033058.0,2023-02-04,1454.9,N
23962863,Basic,19070345,2023-01-31,307.07,Alika Daspar,22/07/1997,07720985909,30 Meadow Ridge Lane,6709818918.0,33470885.0,2023-02-07,1676.4,N
23971753,Basic,51215896,2023-01-31,170.77,Shanon Howie,14/01/1960,07672808451,17746 Comanche Center,9463323708.0,64683004.0,2023-02-09,1658.0,N
24149353,Joint,42772846,2023-01-31,487.27,Neda Sleaford,03/11/2003,07410547442,351 Division Street,5946791915.0,57446648.0,2023-02-06,1201.1,N
24184530,Joint,25651109,2023-01-31,37.87,Gates Slevin,10/12/1972,07334338009,9 Holmberg Alley,6282069041.0,63298193.0,2023-02-08,1360.9,N
24308337,Basic,7073038,2023-01-31,764.57,Salvador Faichnie,25/11/1990,07898984641,4832 Claremont Pass,520100581.0,84964879.0,2023-02-07,1653.3,N
24462859,Basic,50137483,2023-01-31,646.0,Kittie Heakins,10/07/1957,07641727085,9 Village Green Point,8680634573.0,35633136.0,2023-02-09,1855.5,N
24529850,Basic,74244392,2023-01-31,800.79,Coralie Knellen,28/09/1968,07134906360,682 Morning Pass,9859809917.0,25678043.0,2023-02-08,2283.2,N
25636885,Gold,6164823,2023-01-31,755.58,Emmie Kealey,09/01/1953,07785042771,703 Upham Crossing,9300490451.0,83187508.0,2023-02-10,1048.2,N
25677428,Basic,3527714,2023-01-31,307.44,Ivy Kiera,27/05/1982,07492070482,6703 Arkansas Parkway,4309240577.0,25941557.0,2023-02-12,1601.3,N
25746852,Gold,95536612,2023-01-31,320.7,Rivkah Iacapucci,30/08/1954,07516033062,14 Weeping Birch Terrace,1716788439.0,37945317.0,2023-02-10,1524.4,N
25746852,Gold,95536612,2023-01-31,320.7,Rivkah Iacapucci,30/08/1954,07516033062,14 Weeping Birch Terrace,4023198668.0,84187157.0,2023-02-14,1485.7,N
25768265,Gold,9494073,2023-01-31,702.22,Lilly Sullens,14/10/1951,07249501650,323 5th Point,6855294456.0,88732093.0,2023-02-06,1502.6,N
25768265,Gold,9494073,2023-01-31,702.22,Lilly Sullens,14/10/1951,07249501650,323 5th Point,8219618701.0,51793205.0,2023-02-02,1902.2,N
26109213,Gold,66590459,2023-01-31,698.97,Sheffie Domelow,20/10/1963,07436094644,9 Scofield Alley,8176605085.0,58547184.0,2023-02-02,1586.6,N
26432558,Gold,26897941,2023-01-31,465.32,Ruperto Durrand,29/04/1984,07475777928,8 Straubel Pass,752935623.0,99514298.0,2023-02-07,1121.9,N
26506201,Basic,85422591,2023-01-31,592.7,Morton Heggs,09/07/1949,07505844255,327 Caliangt Road,3488111660.0,88568543.0,2023-02-11,1215.8,N
26522255,Gold,49366602,2023-01-31,283.67,Tessa Rosenthaler,22/01/1972,07859434217,317 Kinsman Lane,3960597703.0,46913859.0,2023-02-08,1127.1,N
26522255,Gold,49366602,2023-01-31,283.67,Tessa Rosenthaler,22/01/1972,07859434217,317 Kinsman Lane,6467222474.0,65579734.0,2023-02-13,1085.6,N
26669001,Basic,72989737,2023-01-31,70.04,Dot Yarker,27/10/2001,07411567799,3693 Tennyson Way,3107514675.0,33240853.0,2023-02-11,1318.1,N
26874415,Basic,76949132,2023-01-31,19.62,Darnall Wreath,23/12/1934,07873449517,51 Paget Terrace,8063200519.0,20705548.0,2023-02-02,2269.2,N
26888158,Basic,76785724,2023-01-31,473.02,Arlie Bruneton,23/03/1942,07453783238,981 Bay Alley,7413234025.0,28822117.0,2023-02-05,1022.3,N
26907311,Basic,33680005,2023-01-31,842.69,Aleta Ruvel,25/12/1942,07856477700,12 Carioca Point,3717091964.0,47091705.0,2023-02-05,1195.0,N
27415805,Basic,12646177,2023-01-31,902.28,Amber Reicharz,08/02/1988,07425560370,33 Saint Paul Crossing,6309655094.0,50276595.0,2023-02-06,1107.9,N
27596004,Gold,89861979,2023-01-31,505.73,Garald Venny,27/07/1965,07535383868,9 Buell Hill,1857908597.0,41542689.0,2023-02-12,1255.7,N
27600956,Basic,79820166,2023-01-31,84.39,Roxana Kolushev,24/07/1936,07903584842,3038 Roth Hill,8410567636.0,76847816.0,2023-02-12,1268.1,N
28053942,Gold,76671068,2023-01-31,70.94,Donalt Sumbler,24/12/2001,07619027892,4408 Forest Park,2573182568.0,35210460.0,2023-02-01,1821.2,N
28142099,Gold,84176902,2023-01-31,420.86,Brnaby Mackrill,01/08/1983,07620870297,5177 Kropf Way,6227762334.0,66175264.0,2023-02-10,1134.6,N
28380949,Basic,5014059,2023-01-31,937.24,Gherardo Leng,05/10/1988,07754173276,1968 Graedel Park,9640473553.0,69796371.0,2023-02-04,1412.5,N
28595197,Basic,88613935,2023-01-31,897.68,Karmen Hunnybun,04/12/1937,07261375925,40 Comanche Crossing,1542635829.0,63845700.0,2023-02-09,1606.6,N
29358670,Gold,14221230,2023-01-31,874.94,Joice Lufkin,01/08/1962,07943159313,6033 Dunning Center,9847562024.0,84778718.0,2023-02-12,1183.8,N
29638033,Gold,96323829,2023-01-31,537.95,Barbaraanne Fredi,01/04/1963,07544564107,104 Dawn Drive,4167488191.0,75569387.0,2023-02-01,1775.6,N
29638033,Gold,96323829,2023-01-31,537.95,Barbaraanne Fredi,01/04/1963,07544564107,104 Dawn Drive,8738045222.0,45558696.0,2023-02-02,1890.0,N
30093672,Gold,4306281,2023-01-31,939.77,Marve Broodes,17/10/1941,07292034852,9 Blue Bill Park Court,9756301309.0,98221133.0,2023-02-08,1002.0,N
30112323,Joint,32226966,2023-01-31,519.73,Flynn Largen,30/09/1993,07888467488,9 Magdeline Alley,7273869791.0,19686460.0,2023-02-08,1379.8,N
30312615,Gold,34374206,2023-01-31,659.36,Kennan Roomes,22/05/1969,07376999770,1 Magdeline Road,3008338488.0,77797288.0,2023-02-05,1852.7,N
30374840,Basic,1420664,2023-01-31,564.42,Devlen Rous,25/07/1986,07351387322,4 Hudson Crossing,252031857.0,91829198.0,2023-02-10,1585.0,N
30374840,Basic,1420664,2023-01-31,564.42,Devlen Rous,25/07/1986,07351387322,4 Hudson Crossing,2041596503.0,76146870.0,2023-02-03,1278.2,N
30623117,Gold,50151829,2023-01-31,266.92,Hedwig Lehrer,01/12/2003,07707692226,848 Northview Center,9767173250.0,35330225.0,2023-02-09,1169.4,N
30718836,Gold,8555952,2023-01-31,360.78,Suzette Guilford,16/06/1936,07820102363,23519 Lerdahl Point,8776816028.0,63556863.0,2023-02-08,1127.4,N
31131351,Basic,5570440,2023-01-31,278.94,Danica Feldhammer,26/09/1937,07497290764,16 Ryan Center,4200359480.0,63556863.0,2023-02-06,1124.1,N
31670977,Basic,85473694,2023-01-31,385.42,Arda Wofenden,15/09/1964,07656245152,212 Park Meadow Plaza,5508208399.0,79090076.0,2023-02-02,1520.8,N
31680976,Gold,35700806,2023-01-31,327.79,Germain Clubb,23/02/1999,07336434478,3 Leroy Way,879871237.0,58668564.0,2023-02-11,1125.0,N
31770323,Gold,94428213,2023-01-31,666.66,Maddy Thatcher,15/12/1933,07617883129,7156 Rowland Hill,8263650534.0,68275028.0,2023-02-07,1002.5,N
32308270,Gold,50048247,2023-01-31,976.53,Alley Hazeman,13/07/1932,07104529577,9991 Heffernan Court,3364251460.0,92155262.0,2023-02-09,1060.0,N
32400822,Gold,29648464,2023-01-31,987.34,Van Barritt,26/10/1995,07622614912,5 Emmet Junction,9394994130.0,50520009.0,2023-02-08,1808.4,N
33116647,Basic,59471184,2023-01-31,391.76,Kristos Mitchelmore,07/04/1986,07392923109,54 Loftsgordon Point,3138077927.0,66416254.0,2023-02-06,1095.4,N
33470885,Basic,26051326,2023-01-31,531.96,Saunderson Torrance,11/05/1975,07196424619,68959 Banding Drive,7747292902.0,85559926.0,2023-02-12,1071.4,N
33832864,Joint,11589612,2023-01-31,46.85,Currie Venditto,27/09/1930,07134154463,65851 Lakewood Drive,393779424.0,88040274.0,2023-02-06,1743.5,N
34017695,Basic,78166725,2023-01-31,672.46,Herbie Matresse,12/06/1986,07915593923,5417 Iowa Avenue,2862721220.0,69796371.0,2023-02-14,2002.7,N
34017695,Basic,78166725,2023-01-31,672.46,Herbie Matresse,12/06/1986,07915593923,5417 Iowa Avenue,4363519207.0,62862427.0,2023-02-13,1756.0,N
34400277,Gold,25267812,2023-01-31,207.59,Joscelin Ferraresi,13/03/2003,07127250410,715 Bay Circle,7547139418.0,45688415.0,2023-02-01,1393.7,N
34921262,Gold,31671267,2023-01-31,971.82,Moina Farnfield,19/12/1999,07235956284,86 Banding Point,5258873692.0,69561077.0,2023-02-05,1917.1,N
35506101,Gold,39867567,2023-01-31,713.65,Adrianne Pree,26/02/1995,07549505592,939 Sugar Hill,7917784223.0,24123707.0,2023-02-09,1386.8,N
35633136,Gold,14537251,2023-01-31,603.11,Rora Couldwell,19/02/1985,07573728535,8 Golf View Way,4348426260.0,60522190.0,2023-02-08,1589.0,N
36114551,Joint,94427744,2023-01-31,876.22,Verile Briggs,25/11/1996,07476103800,220 Bonner Road,9323740667.0,51313899.0,2023-02-03,1488.0,N
36551112,Joint,13639076,2023-01-31,976.02,Hatti Bilverstone,18/07/1939,07443848042,47934 East Road,6095910323.0,43338400.0,2023-02-14,2197.2,N
36551112,Joint,13639076,2023-01-31,976.02,Hatti Bilverstone,18/07/1939,07443848042,47934 East Road,7096571558.0,40507682.0,2023-02-14,1514.1,N
37004975,Basic,78209509,2023-01-31,635.77,Sid Tinsey,20/03/1969,07762739943,7586 7th Avenue,1369012101.0,13274987.0,2023-02-08,1290.2,N
37004975,Basic,78209509,2023-01-31,635.77,Sid Tinsey,20/03/1969,07762739943,7586 7th Avenue,9632604202.0,27203821.0,2023-02-07,1679.8,N
37017424,Basic,8434185,2023-01-31,71.34,Joshia Pole,04/05/1969,07377565104,3752 Annamark Place,9171513191.0,74252410.0,2023-02-10,1531.0,N
37256412,Gold,62294750,2023-01-31,24.43,Geneva Stovin,18/04/2000,07417143574,7 Straubel Hill,4754885082.0,75164598.0,2023-02-03,1529.4,N
37319261,Basic,41867130,2023-01-31,574.42,Antonia Storrie,29/07/1985,07360930651,1733 Bunting Lane,3724174004.0,84448752.0,2023-02-06,1409.6,N
37369245,Gold,24436370,2023-01-31,446.65,Ian Armin,06/11/1978,07315779675,46128 Paget Way,5394880565.0,19242274.0,2023-02-10,1324.9,N
37503622,Gold,74993234,2023-01-31,630.18,Judah Shemwell,25/10/1996,07704105958,293 Monument Junction,4895409996.0,29017229.0,2023-02-04,1246.9,N
37503622,Gold,74993234,2023-01-31,630.18,Judah Shemwell,25/10/1996,07704105958,293 Monument Junction,9166816564.0,68558850.0,2023-02-04,1395.3,N
37789180,Gold,33936785,2023-01-31,854.05,Conni Horry,22/01/1989,07395966131,4145 Sloan Drive,2285320620.0,89645445.0,2023-02-09,1726.4,N
37878074,Basic,2335740,2023-01-31,647.56,Lenci Bacon,31/10/1979,07802296799,61470 Weeping Birch Parkway,9772705354.0,83443439.0,2023-02-03,1218.0,N
38487215,Gold,13709133,2023-01-31,780.01,Aubrey Jamieson,13/02/1971,07569932617,3 Tony Lane,1160194041.0,26432558.0,2023-02-06,1543.0,N
38606148,Gold,35531295,2023-01-31,956.59,Sibelle Fryd,17/04/1955,07447580226,3 Nova Lane,1858273145.0,43597919.0,2023-02-12,1323.4,N
38749064,Gold,11822535,2023-01-31,569.98,Sileas Dogg,31/05/1999,07827162599,17502 Vahlen Way,1492043389.0,50959802.0,2023-02-02,1436.3,N
38903150,Basic,97947050,2023-01-31,263.28,Noellyn Scotney,28/08/1985,07760234692,24 Nancy Terrace,1912023679.0,50959802.0,2023-02-14,1157.1,N
38921478,Gold,58538323,2023-01-31,641.48,Everett Beazer,04/11/1933,07197761533,83244 Veith Avenue,768678234.0,30565855.0,2023-02-05,1292.8,N
38969279,Gold,62429538,2023-01-31,195.74,Ambros Fitzgerald,11/06/1998,07326699118,88 Sugar Crossing,8603111812.0,21558805.0,2023-02-05,2160.7,N
39013360,Joint,78561748,2023-01-31,987.76,Nance Swalwel,02/05/2003,07599679728,84 Wayridge Avenue,973381515.0,36871984.0,2023-02-12,1663.0,N
39093565,Basic,8430162,2023-01-31,107.2,Reinaldos Pottberry,16/07/1991,07206025405,84585 Anderson Alley,9337783533.0,85924719.0,2023-02-08,1872.8,N
39267013,Basic,36802473,2023-01-31,516.74,Penny Bartolommeo,08/05/1993,07674320345,423 Cascade Lane,9813247657.0,73668192.0,2023-02-02,1495.8,N
39402264,Gold,73519658,2023-01-31,993.04,Sauncho Moland,29/07/1984,07279287444,56 Vermont Park,6719011871.0,30672740.0,2023-02-11,1949.6,N
39516154,Gold,43881787,2023-01-31,620.87,Christalle Mitchel,23/08/1956,07445614911,641 Banding Drive,3493101317.0,95467370.0,2023-02-02,1273.1,N
39516154,Gold,43881787,2023-01-31,620.87,Christalle Mitchel,23/08/1956,07445614911,641 Banding Drive,4941311604.0,10847941.0,2023-02-11,1094.0,N
40039031,Gold,85969311,2023-01-31,124.72,Oralla Plumm,21/04/1940,07901713079,91 Washington Terrace,9791706700.0,86218347.0,2023-02-07,1581.8,N
40189934,Gold,80955918,2023-01-31,804.21,Jaquelyn Cortin,25/10/1976,07933791829,9 Roth Junction,7180602892.0,64769583.0,2023-02-04,1705.8,N
40745965,Gold,76131665,2023-01-31,654.15,Josepha Grattage,03/11/1980,07151819613,59658 Crescent Oaks Street,5596420425.0,45790907.0,2023-02-01,1264.3,N
40872555,Gold,77433044,2023-01-31,115.88,Ewell Ducker,02/11/1978,07276923375,8 Morrow Court,5402673276.0,71266283.0,2023-02-04,1218.0,N
41085190,Basic,16982197,2023-01-31,78.73,Drucie Adamkiewicz,18/01/1933,07956341732,533 Steensland Road,4025620235.0,45543867.0,2023-02-07,1522.0,N
41085190,Basic,16982197,2023-01-31,78.73,Drucie Adamkiewicz,18/01/1933,07956341732,533 Steensland Road,7559132731.0,79570236.0,2023-02-08,1168.1,N
41170515,Basic,15970555,2023-01-31,713.46,Dana Kenrack,09/10/1944,07102797795,35 Drewry Avenue,6199332598.0,89905732.0,2023-02-10,1147.5,N
41245288,Gold,86165486,2023-01-31,540.61,Asia Wyld,21/05/1993,07247421402,820 Petterle Drive,9822470290.0,37443706.0,2023-02-13,1088.0,N
41561470,Gold,70010884,2023-01-31,750.8,Normy Ebbers,12/08/1964,07758113429,10 Dahle Point,3592959115.0,15563919.0,2023-02-14,1083.0,N
42235537,Basic,49493557,2023-01-31,165.2,Gilburt Sedgefield,09/07/1961,07833801224,1587 Bunting Crossing,9309396490.0,44228646.0,2023-02-08,1244.2,N
42340050,Basic,61687744,2023-01-31,935.61,Adorne Petworth,24/03/1945,07461742489,45955 Darwin Lane,6590433992.0,16026987.0,2023-02-13,1678.8,N
42652193,Gold,75578843,2023-01-31,566.53,Armstrong Conklin,19/03/1982,07615074864,91 Algoma Way,703305565.0,89438779.0,2023-02-13,1062.5,N
42746180,Gold,21573282,2023-01-31,12.15,Tadio Pettersen,06/04/1986,07437806282,9 Del Mar Avenue,4758584850.0,78501355.0,2023-02-04,1610.8,N
42783101,Gold,21705549,2023-01-31,289.82,Gannie Mustill,23/06/1959,07701932569,9 Schlimgen Terrace,8011320084.0,51198722.0,2023-02-07,1035.2,N
42838186,Gold,43499450,2023-01-31,466.48,Shurlock Siviter,11/01/1989,07401023617,11082 Cottonwood Street,2733294954.0,15899774.0,2023-02-08,1382.5,N
43064169,Basic,60315798,2023-01-31,555.44,Estelle Lemerie,15/03/1953,07800404494,5497 Mesta Park,5059383865.0,37642787.0,2023-02-10,1289.6,N
