Account Number,Balance Date,Balance,Transaction Value,Flow
10521885,2023-02-12,-216.74999999999997,70.6,Outgoing
10521885,2023-02-14,-366.93999999999994,150.19,Outgoing
10521885,2023-02-14,-420.28999999999996,53.35,Outgoing
10553619,2023-01-31,756.2,,-
10553619,2023-02-01,868.97,112.77,Incoming
10553619,2023-02-01,796.79,72.18,Outgoing
10553619,2023-02-03,662.8499999999999,133.94,Outgoing
10553619,2023-02-04,1926.75,1263.9,Incoming
10553619,2023-02-05,2016.37,89.62,Incoming
10553619,2023-02-06,3101.77,1085.4,Incoming
10553619,2023-02-11,2227.87,873.9,Outgoing
10553619,2023-02-14,2270.89,43.02,Incoming
10553619,2023-02-14,785.29,1485.6,Outgoing
10554116,2023-01-31,243.95,,-
10554116,2023-02-01,365.78,121.83,Incoming
10586481,2023-01-31,73.83,,-
10586481,2023-02-03,-26.590000000000003,100.42,Outgoing
10586481,2023-02-11,-169.15,142.56,Outgoing
10586481,2023-02-12,-119.62,49.53,Incoming
10586481,2023-02-12,-247.94,128.32,Outgoing
10586481,2023-02-14,-223.05,24.89,Incoming
10608220,2023-01-31,632.92,,-
10608220,2023-02-01,722.3299999999999,89.41,Incoming
10608220,2023-02-01,688.8399999999999,33.49,Outgoing
10608220,2023-02-04,806.0999999999999,117.26,Incoming
10608220,2023-02-05,727.3,78.8,Outgoing
10608220,2023-02-10,783.18,55.88,Incoming
10608220,2023-02-11,925.74,142.56,Incoming
10608220,2023-02-13,1023.9300000000001,98.19,Incoming
10608220,2023-02-13,1142.43,118.5,Incoming
10608220,2023-02-13,1055.64,86.79,Outgoing
10631690,2023-01-31,947.45,,-
10631690,2023-02-03,988.49,41.04,Incoming
10631690,2023-02-03,823.1,165.39,Outgoing
10631690,2023-02-11,974.12,151.02,Incoming
10675607,2023-01-31,284.84,,-
10675607,2023-02-01,399.04999999999995,114.21,Incoming
10675607,2023-02-08,418.15999999999997,19.11,Incoming
10675607,2023-02-14,1326.56,908.4,Incoming
10725127,2023-01-31,984.69,,-
10725127,2023-02-04,2253.3900000000003,1268.7,Incoming
10725127,2023-02-09,2105.0000000000005,148.39,Outgoing
10725127,2023-02-11,2002.9700000000005,102.03,Outgoing
10725127,2023-02-12,2231.4900000000007,228.52,Incoming
10725127,2023-02-13,2389.4800000000005,157.99,Incoming
10769769,2023-01-31,906.91,,-
10769769,2023-02-01,1000.1899999999999,93.28,Incoming
10769769,2023-02-02,1020.91,20.72,Incoming
10769769,2023-02-02,2523.11,1502.2,Incoming
10769769,2023-02-02,2484.33,38.78,Outgoing
10769769,2023-02-02,2581.13,96.8,Incoming
10769769,2023-02-03,2670.6400000000003,89.51,Incoming
10769769,2023-02-05,2729.7900000000004,59.15,Incoming
10769769,2023-02-05,2584.7100000000005,145.08,Outgoing
10769769,2023-02-08,2728.2800000000007,143.57,Incoming
10769769,2023-02-09,2669.4200000000005,58.86,Outgoing
10769769,2023-02-10,2721.2400000000007,51.82,Incoming
10769769,2023-02-10,2806.9400000000005,85.7,Incoming
10769769,2023-02-11,2634.6200000000003,172.32,Outgoing
10769769,2023-02-11,1968.1200000000003,666.5,Outgoing
10783139,2023-01-31,992.98,,-
10783139,2023-02-04,889.1700000000001,103.81,Outgoing
10783139,2023-02-05,981.95,92.78,Incoming
10783139,2023-02-08,1078.28,96.33,Incoming
10783139,2023-02-09,1068.59,9.69,Outgoing
10783139,2023-02-09,1198.35,129.76,Incoming
10783139,2023-02-10,1126.29,72.06,Outgoing
10783139,2023-02-12,1017.2099999999999,109.08,Outgoing
10799356,2023-01-31,915.04,,-
10799356,2023-02-06,787.1899999999999,127.85,Outgoing
10799356,2023-02-06,648.9499999999999,138.24,Outgoing
10799356,2023-02-11,769.93,120.98,Incoming
10799356,2023-02-11,1029.32,259.39,Incoming
10799356,2023-02-12,1123.48,94.16,Incoming
10799356,2023-02-14,2438.1800000000003,1314.7,Incoming
10819898,2023-01-31,750.25,,-
10819898,2023-02-01,646.5699999999999,103.68,Outgoing
10819898,2023-02-02,631.05,15.52,Outgoing
10819898,2023-02-03,722.0699999999999,91.02,Incoming
10819898,2023-02-05,758.1999999999999,36.13,Incoming
10819898,2023-02-08,634.91,123.29,Outgoing
10819898,2023-02-10,739.66,104.75,Incoming
10819898,2023-02-12,641.51,98.15,Outgoing
10819898,2023-02-14,593.68,47.83,Outgoing
10819898,2023-02-14,479.13999999999993,114.54,Outgoing
10842511,2023-01-31,651.77,,-
10842511,2023-02-02,807.6899999999999,155.92,Incoming
10842511,2023-02-13,705.25,102.44,Outgoing
10847941,2023-01-31,40.25,,-
10847941,2023-02-06,104.54,64.29,Incoming
10847941,2023-02-07,248.16000000000003,143.62,Incoming
10847941,2023-02-08,155.62,92.54,Outgoing
10847941,2023-02-10,301.74,146.12,Incoming
10847941,2023-02-11,-792.26,1094.0,Outgoing
10864084,2023-01-31,119.98,,-
10864084,2023-02-02,270.73,150.75,Incoming
10864084,2023-02-02,450.42,179.69,Incoming
10864084,2023-02-05,489.5,39.08,Incoming
10864084,2023-02-06,416.8,72.7,Outgoing
10864084,2023-02-06,261.88,154.92,Outgoing
10864084,2023-02-06,147.07,114.81,Outgoing
10864084,2023-02-10,48.75,98.32,Outgoing
10864084,2023-02-11,-16.400000000000006,65.15,Outgoing
10864084,2023-02-13,1529.1,1545.5,Incoming
10942334,2023-01-31,55.42,,-
10942334,2023-02-05,148.31,92.89,Incoming
10942334,2023-02-07,182.29,33.98,Incoming
10942334,2023-02-10,65.61999999999999,116.67,Outgoing
10942334,2023-02-11,-18.830000000000013,84.45,Outgoing
10949168,2023-01-31,471.8,,-
10949168,2023-02-04,577.69,105.89,Incoming
10949168,2023-02-04,705.4200000000001,127.73,Incoming
10949168,2023-02-07,633.4300000000001,71.99,Outgoing
10949168,2023-02-09,848.19,214.76,Incoming
10949168,2023-02-11,701.24,146.95,Outgoing
10949168,2023-02-12,648.4300000000001,52.81,Outgoing
10949168,2023-02-14,661.86,13.43,Incoming
10989769,2023-01-31,334.18,,-
10989769,2023-02-03,-520.22,854.4,Outgoing
10989769,2023-02-12,-365.66,154.56,Incoming
10989769,2023-02-13,-299.11,66.55,Incoming
10989769,2023-02-13,-401.33000000000004,102.22,Outgoing
11008868,2023-01-31,271.3,,-
11008868,2023-02-02,272.21000000000004,0.91,Incoming
11008868,2023-02-07,480.07000000000005,207.86,Incoming
11008868,2023-02-13,386.51000000000005,93.56,Outgoing
11008868,2023-02-13,289.53000000000003,96.98,Outgoing
11008868,2023-02-14,157.95000000000002,131.58,Outgoing
11026937,2023-01-31,303.44,,-
11026937,2023-02-02,351.15999999999997,47.72,Incoming
11026937,2023-02-02,260.25,90.91,Outgoing
11026937,2023-02-06,345.69,85.44,Incoming
11026937,2023-02-07,420.77,75.08,Incoming
11026937,2023-02-07,513.3199999999999,92.55,Incoming
11026937,2023-02-13,555.5799999999999,42.26,Incoming
11026937,2023-02-14,488.1099999999999,67.47,Outgoing
11061291,2023-01-31,72.7,,-
11061291,2023-02-01,235.11,162.41,Incoming
11061291,2023-02-03,384.65,149.54,Incoming
11061291,2023-02-03,438.07,53.42,Incoming
11061291,2023-02-04,251.12,186.95,Outgoing
11061291,2023-02-08,245.39000000000001,5.73,Outgoing
11061291,2023-02-08,183.98000000000002,61.41,Outgoing
11061291,2023-02-09,303.15000000000003,119.17,Incoming
11061291,2023-02-12,181.29000000000002,121.86,Outgoing
11061291,2023-02-14,260.27000000000004,78.98,Incoming
11067879,2023-01-31,481.56,,-
11067879,2023-02-01,1294.16,812.6,Incoming
11067879,2023-02-01,1107.15,187.01,Outgoing
11067879,2023-02-02,1122.67,15.52,Incoming
11067879,2023-02-04,1041.04,81.63,Outgoing
11067879,2023-02-06,943.9499999999999,97.09,Outgoing
11067879,2023-02-07,1040.8799999999999,96.93,Incoming
11067879,2023-02-07,889.5499999999998,151.33,Outgoing
11067879,2023-02-07,1012.9999999999999,123.45,Incoming
11067879,2023-02-08,1079.3899999999999,66.39,Incoming
11067879,2023-02-11,1166.55,87.16,Incoming
11067879,2023-02-11,993.98,172.57,Outgoing
11067879,2023-02-13,1072.89,78.91,Incoming
11110085,2023-01-31,861.29,,-
11110085,2023-02-03,753.39,107.9,Outgoing
11110085,2023-02-05,-958.8100000000001,1712.2,Outgoing
11110085,2023-02-06,-1056.14,97.33,Outgoing
11110085,2023-02-11,-1165.8000000000002,109.66,Outgoing
11110085,2023-02-12,-1099.5300000000002,66.27,Incoming
11110085,2023-02-12,-1221.89,122.36,Outgoing
11110085,2023-02-13,-1074.22,147.67,Incoming
11110085,2023-02-14,-2472.02,1397.8,Outgoing
11110085,2023-02-14,-2319.18,152.84,Incoming
11150945,2023-01-31,858.83,,-
11150945,2023-02-01,1204.13,345.3,Incoming
11150945,2023-02-01,963.9300000000001,240.2,Outgoing
11150945,2023-02-03,931.86,32.07,Outgoing
11150945,2023-02-03,1120.89,189.03,Incoming
11150945,2023-02-06,1077.3000000000002,43.59,Outgoing
11150945,2023-02-09,944.1400000000002,133.16,Outgoing
11150945,2023-02-09,846.1100000000002,98.03,Outgoing
11150945,2023-02-13,82.9100000000002,763.2,Outgoing
11150945,2023-02-13,209.6300000000002,126.72,Incoming
11228111,2023-01-31,130.36,,-
11228111,2023-02-01,272.56,142.2,Incoming
11228111,2023-02-02,1773.86,1501.3,Incoming
11228111,2023-02-09,1594.2099999999998,179.65,Outgoing
11228111,2023-02-10,1424.7399999999998,169.47,Outgoing
11228111,2023-02-11,1355.6299999999999,69.11,Outgoing
11228111,2023-02-11,1278.09,77.54,Outgoing
11242986,2023-01-31,344.68,,-
11242986,2023-02-01,505.08000000000004,160.4,Incoming
11242986,2023-02-06,526.2,21.12,Incoming
11242986,2023-02-08,619.97,93.77,Incoming
11242986,2023-02-09,564.1,55.87,Outgoing
11242986,2023-02-11,666.26,102.16,Incoming
11251776,2023-01-31,504.02,,-
11251776,2023-02-03,415.08,88.94,Outgoing
11251776,2023-02-04,330.92999999999995,84.15,Outgoing
11251776,2023-02-09,180.70999999999995,150.22,Outgoing
11251776,2023-02-10,248.39999999999995,67.69,Incoming
11251776,2023-02-11,169.31999999999994,79.08,Outgoing
11251776,2023-02-14,1120.02,950.7,Incoming
11302888,2023-01-31,458.83,,-
11302888,2023-02-04,341.23,117.6,Outgoing
11302888,2023-02-05,421.79,80.56,Incoming
11302888,2023-02-06,238.83,182.96,Outgoing
11302888,2023-02-10,258.55,19.72,Incoming
11306584,2023-01-31,522.4,,-
11306584,2023-02-01,470.4,52.0,Outgoing
11306584,2023-02-03,902.5999999999999,432.2,Incoming
11306584,2023-02-07,-296.3000000000002,1198.9,Outgoing
11306584,2023-02-07,-341.6800000000002,45.38,Outgoing
11306584,2023-02-09,-492.82000000000016,151.14,Outgoing
11306584,2023-02-10,-462.21000000000015,30.61,Incoming
11306584,2023-02-11,-526.0400000000002,63.83,Outgoing
11306584,2023-02-12,-2207.9400000000005,1681.9,Outgoing
11306584,2023-02-12,-2136.2000000000007,71.74,Incoming
11306584,2023-02-14,-1435.1000000000008,701.1,Incoming
11333185,2023-01-31,693.23,,-
11333185,2023-02-02,593.65,99.58,Outgoing
11333185,2023-02-06,1270.35,676.7,Incoming
11333185,2023-02-06,1157.1499999999999,113.2,Outgoing
11333185,2023-02-07,2598.05,1440.9,Incoming
11333185,2023-02-07,2411.9700000000003,186.08,Outgoing
11333185,2023-02-10,2479.26,67.29,Incoming
11333185,2023-02-11,2323.4500000000003,155.81,Outgoing
11333185,2023-02-11,2235.0400000000004,88.41,Outgoing
11333185,2023-02-11,2373.5200000000004,138.48,Incoming
11333185,2023-02-13,791.1200000000003,1582.4,Outgoing
11346696,2023-01-31,661.99,,-
11346696,2023-02-04,753.6800000000001,91.69,Incoming
11346696,2023-02-06,829.45,75.77,Incoming
11346696,2023-02-09,942.6,113.15,Incoming
11346696,2023-02-10,1755.4,812.8,Incoming
11346696,2023-02-13,3243.1000000000004,1487.7,Incoming
11359678,2023-01-31,837.17,,-
11359678,2023-02-07,772.01,65.16,Outgoing
11359678,2023-02-07,839.05,67.04,Incoming
11359678,2023-02-11,776.81,62.24,Outgoing
11359678,2023-02-14,851.3399999999999,74.53,Incoming
11360263,2023-01-31,136.79,,-
11360263,2023-02-01,36.769999999999996,100.02,Outgoing
11360263,2023-02-03,-65.03,101.8,Outgoing
11360263,2023-02-03,-195.56,130.53,Outgoing
11360263,2023-02-06,-368.59000000000003,173.03,Outgoing
11360263,2023-02-06,-448.74,80.15,Outgoing
11360263,2023-02-09,-380.49,68.25,Incoming
11360263,2023-02-12,-333.24,47.25,Incoming
11368995,2023-01-31,565.8,,-
11368995,2023-02-01,629.28,63.48,Incoming
11368995,2023-02-02,478.53,150.75,Outgoing
11368995,2023-02-02,619.14,140.61,Incoming
11368995,2023-02-04,740.63,121.49,Incoming
11368995,2023-02-05,833.23,92.6,Incoming
11368995,2023-02-06,781.01,52.22,Outgoing
11368995,2023-02-08,715.95,65.06,Outgoing
11437275,2023-01-31,115.34,,-
11437275,2023-02-05,16.870000000000005,98.47,Outgoing
11437275,2023-02-07,-95.63,112.5,Outgoing
11437275,2023-02-07,48.870000000000005,144.5,Incoming
11437275,2023-02-09,-45.19,94.06,Outgoing
11437275,2023-02-10,67.42,112.61,Incoming
11437275,2023-02-10,167.85000000000002,100.43,Incoming
11438427,2023-01-31,484.08,,-
11438427,2023-02-06,360.31,123.77,Outgoing
11438427,2023-02-07,384.21,23.9,Incoming
11438427,2023-02-08,574.3299999999999,190.12,Incoming
11438427,2023-02-08,2260.33,1686.0,Incoming
11463412,2023-01-31,342.53,,-
11463412,2023-02-07,440.34999999999997,97.82,Incoming
11463412,2023-02-09,-1141.95,1582.3,Outgoing
11475827,2023-01-31,363.88,,-
11475827,2023-02-01,315.49,48.39,Outgoing
11475827,2023-02-07,226.4,89.09,Outgoing
11475827,2023-02-08,271.94,45.54,Incoming
11475827,2023-02-11,-857.96,1129.9,Outgoing
11475827,2023-02-11,-944.82,86.86,Outgoing
11475827,2023-02-12,-1050.8400000000001,106.02,Outgoing
11522216,2023-01-31,590.37,,-
11522216,2023-02-03,546.76,43.61,Outgoing
11522216,2023-02-04,347.35,199.41,Outgoing
11522216,2023-02-10,264.38,82.97,Outgoing
11522216,2023-02-10,157.76,106.62,Outgoing
11522216,2023-02-14,76.38999999999999,81.37,Outgoing
11662506,2023-01-31,573.89,,-
11662506,2023-02-01,741.74,167.85,Incoming
11662506,2023-02-05,638.78,102.96,Outgoing
11662506,2023-02-05,549.06,89.72,Outgoing
11662506,2023-02-09,587.15,38.09,Incoming
11662506,2023-02-09,721.93,134.78,Incoming
11662506,2023-02-11,806.28,84.35,Incoming
11662506,2023-02-14,883.61,77.33,Incoming
11662506,2023-02-14,2281.41,1397.8,Incoming
11694020,2023-01-31,379.2,,-
11694020,2023-02-04,568.92,189.72,Incoming
11694020,2023-02-06,524.49,44.43,Outgoing
11694020,2023-02-09,1888.09,1363.6,Incoming
11694020,2023-02-12,1886.8,1.29,Outgoing
11694020,2023-02-14,1161.8,725.0,Outgoing
11717885,2023-01-31,6.06,,-
11717885,2023-02-05,78.59,72.53,Incoming
11717885,2023-02-13,165.10000000000002,86.51,Incoming
11728970,2023-01-31,711.65,,-
11728970,2023-02-06,626.86,84.79,Outgoing
11728970,2023-02-06,503.25,123.61,Outgoing
11728970,2023-02-09,638.4300000000001,135.18,Incoming
11728970,2023-02-14,545.08,93.35,Outgoing
11736814,2023-01-31,381.51,,-
11736814,2023-02-03,514.5699999999999,133.06,Incoming
11736814,2023-02-05,1305.07,790.5,Incoming
11736814,2023-02-06,1206.21,98.86,Outgoing
11736814,2023-02-11,3057.61,1851.4,Incoming
11744491,2023-01-31,105.92,,-
11744491,2023-02-01,-37.05999999999999,142.98,Outgoing
11744491,2023-02-01,-149.23,112.17,Outgoing
11744491,2023-02-03,-805.53,656.3,Outgoing
11744491,2023-02-04,-660.78,144.75,Incoming
11744491,2023-02-06,-568.39,92.39,Incoming
11744491,2023-02-09,-391.53999999999996,176.85,Incoming
11744491,2023-02-09,-478.68999999999994,87.15,Outgoing
11744491,2023-02-10,-438.98999999999995,39.7,Incoming
11744491,2023-02-11,-524.88,85.89,Outgoing
11744491,2023-02-12,-469.07,55.81,Incoming
11744491,2023-02-13,-584.93,115.86,Outgoing
11744491,2023-02-13,-463.53999999999996,121.39,Incoming
11764022,2023-01-31,286.66,,-
11764022,2023-02-01,403.90000000000003,117.24,Incoming
11764022,2023-02-03,400.25000000000006,3.65,Outgoing
11764022,2023-02-10,313.64000000000004,86.61,Outgoing
11778031,2023-01-31,514.7,,-
11778031,2023-02-08,552.3900000000001,37.69,Incoming
11778031,2023-02-09,616.8300000000002,64.44,Incoming
11778031,2023-02-11,514.7500000000001,102.08,Outgoing
11778031,2023-02-13,-54.84999999999991,569.6,Outgoing
11790056,2023-01-31,49.7,,-
11790056,2023-02-01,145.19,95.49,Incoming
11790056,2023-02-01,25.22,119.97,Outgoing
11790056,2023-02-03,13.219999999999999,12.0,Outgoing
11790056,2023-02-05,105.03,91.81,Incoming
11790056,2023-02-06,152.81,47.78,Incoming
11790056,2023-02-06,841.31,688.5,Incoming
11790056,2023-02-08,750.6099999999999,90.7,Outgoing
11790056,2023-02-08,792.18,41.57,Incoming
11790056,2023-02-09,1761.88,969.7,Incoming
11804173,2023-01-31,353.62,,-
11804173,2023-02-02,234.26,119.36,Outgoing
11804173,2023-02-04,393.67999999999995,159.42,Incoming
11804173,2023-02-04,293.42999999999995,100.25,Outgoing
11804173,2023-02-11,347.02,53.59,Incoming
11826060,2023-01-31,782.13,,-
11826060,2023-02-05,718.81,63.32,Outgoing
11826060,2023-02-07,637.17,81.64,Outgoing
11826060,2023-02-09,599.04,38.13,Outgoing
11826060,2023-02-11,662.87,63.83,Incoming
11826060,2023-02-13,544.2,118.67,Outgoing
11826060,2023-02-13,451.16,93.04,Outgoing
11831265,2023-01-31,292.14,,-
11831265,2023-02-01,383.90999999999997,91.77,Incoming
11831265,2023-02-01,487.30999999999995,103.4,Incoming
11831265,2023-02-01,627.9799999999999,140.67,Incoming
11831265,2023-02-09,726.29,98.31,Incoming
11831265,2023-02-10,636.31,89.98,Outgoing
11831265,2023-02-13,478.31999999999994,157.99,Outgoing
11831265,2023-02-14,563.9899999999999,85.67,Incoming
11836917,2023-01-31,650.14,,-
11836917,2023-02-01,788.3299999999999,138.19,Incoming
11836917,2023-02-12,697.67,90.66,Outgoing
11836917,2023-02-14,609.79,87.88,Outgoing
11836917,2023-02-14,444.23999999999995,165.55,Outgoing
11846043,2023-01-31,915.59,,-
11846043,2023-02-02,846.1,69.49,Outgoing
11846043,2023-02-06,758.28,87.82,Outgoing
11846043,2023-02-07,814.56,56.28,Incoming
11846043,2023-02-10,2454.96,1640.4,Incoming
11846043,2023-02-12,2315.2,139.76,Outgoing
11882775,2023-01-31,299.41,,-
11882775,2023-02-01,405.04,105.63,Incoming
11882775,2023-02-01,1463.74,1058.7,Incoming
11882775,2023-02-03,1344.98,118.76,Outgoing
11882775,2023-02-03,2098.48,753.5,Incoming
11882775,2023-02-05,2014.43,84.05,Outgoing
11882775,2023-02-06,2104.48,90.05,Incoming
11882775,2023-02-06,3896.38,1791.9,Incoming
11882775,2023-02-08,3686.65,209.73,Outgoing
11882775,2023-02-09,2483.75,1202.9,Outgoing
11910409,2023-01-31,241.22,,-
11910409,2023-02-01,321.65,80.43,Incoming
11910409,2023-02-04,400.58,78.93,Incoming
11910409,2023-02-05,322.21999999999997,78.36,Outgoing
11910409,2023-02-05,440.43999999999994,118.22,Incoming
11910409,2023-02-06,493.9699999999999,53.53,Incoming
11910409,2023-02-12,390.1799999999999,103.79,Outgoing
11910409,2023-02-13,277.8699999999999,112.31,Outgoing
11928523,2023-01-31,818.51,,-
11928523,2023-02-05,968.42,149.91,Incoming
11928523,2023-02-07,1045.0,76.58,Incoming
11928523,2023-02-08,1119.38,74.38,Incoming
11928523,2023-02-11,1020.0700000000002,99.31,Outgoing
11928523,2023-02-12,-1188.33,2208.4,Outgoing
11928523,2023-02-13,-1257.0,68.67,Outgoing
12035637,2023-01-31,461.35,,-
